# WoW API Quick Reference (1799 functions)
Format: FunctionName | signature | description
GetLootSlotLink | link = GetLootSlotLink(slot) | Returns a hyperlink for an item available as loot. Returns nil if the loot slot is empty or contains money.
GetLootThreshold | threshold = GetLootThreshold() | Returns the threshold used for Master Looter, Group Loot, and Need Before Greed loot methods. Items above the `threshold
GetMacroBody | body = GetMacroBody(index) or GetMacroBody("name") | Returns the body text of a macro
GetMacroIconInfo | texture = GetMacroIconInfo(index) | Returns the texture for a macro icon option
GetMacroIndexByName | index = GetMacroIndexByName("name") | Returns the index of a macro specified by name
GetMacroInfo | name, texture, body = GetMacroInfo(index) or GetMacroInfo("name") | Returns information about a macro
GetMacroItem | name, link = GetMacroItem(index) or GetMacroItem("name") | Returns information about the item used by a macro. If a macro contains conditional, random, or sequence commands, this 
GetMacroItemIconInfo | texture = GetMacroItemIconInfo(index) | Returns the texture for an item icon. Despite the "macro" in the title, this function is only used by the default UI for
GetMacroSpell | name, rank = GetMacroSpell(index) or GetMacroSpell("name") | Returns information about the spell cast by a macro. If a macro contains conditional, random, or sequence commands, this
GetManaRegen | base, casting = GetManaRegen() | Returns information about the player's mana regeneration rate
GetMapContinents | ... = GetMapContinents() | Returns a list of map continents names
GetMapInfo | mapFileName, textureHeight, textureWidth = GetMapInfo() | Returns information about the current world map texture. World map images are broken into several tiles; the full textur
GetMapLandmarkInfo | name, description, textureIndex, x, y, mapLinkID, showInBattleMap = GetMapLandmarkInfo(index) | Returns information about a map landmark. Possible landmarks include PvP objectives (both in battlegrounds and in world 
GetMapOverlayInfo | textureName, textureWidth, textureHeight, offsetX, offsetY, mapPointX, mapPointY = GetMapOverlayInfo(index) | Returns information about a world map overlay. Map overlays correspond to areas which are "discovered" when entered by t
GetMapZones | ... = GetMapZones(continentIndex) | Returns the map zones for a given continent
GetMasterLootCandidate | candidate = GetMasterLootCandidate(index) | Returns information about a given loot candidate. Used in the default UI to build the popup menu used in master loot ass
GetMaxArenaCurrency | amount = GetMaxArenaCurrency() | Returns the maximum amount of arena points the player can accrue
GetMaxCombatRatingBonus | max = GetMaxCombatRatingBonus(ratingIndex) | Returns the maximum possible percentage bonus for a given combat rating.
GetMaxDailyQuests | max = GetMaxDailyQuests() | Returns the maximum number of daily quests that can be completed each day.
GetMerchantItemCostInfo | currencyCount = GetMerchantItemCostInfo(index) | Returns information about alternate currencies required to purchase an item from a vendor
GetMerchantItemCostItem | texture, value, link, name = GetMerchantItemCostItem(index, currency) | Returns information about currency items required to purchase an item from a vendor
GetMerchantItemInfo | name, texture, price, quantity, numAvailable, isUsable, extendedCost = GetMerchantItemInfo(index) | Returns information about an item available for purchase from a vendor
GetMerchantItemLink | link = GetMerchantItemLink(index) | Returns a hyperlink for an item available for purchase from a vendor
GetMerchantItemMaxStack | maxStack = GetMerchantItemMaxStack(index) | Returns the maximum number of an item allowed in a single purchase. Determines the largest value usable for the second a
GetMerchantNumItems | numMerchantItems = GetMerchantNumItems() | Returns the number of different items available for purchase from a vendor
getmetatable | metatable = getmetatable(object) | Returns an object's metatable
GetMinimapZoneText | zoneText = GetMinimapZoneText() | Returns the name of the current area (as displayed in the Minimap). Matches `GetSubZoneText()`, `GetRealZoneText()` or `
GetMirrorTimerInfo | timer, value, maxvalue, scale, paused, label = GetMirrorTimerInfo(index) | Returns information about special countdown timers
GetMirrorTimerProgress | progress = GetMirrorTimerProgress("timer") | Returns a high-resolution value for a special countdown timer
GetModifiedClick | binding = GetModifiedClick("name") | Returns the keys/buttons bound for a modified click action
GetModifiedClickAction | action = GetModifiedClickAction(index) | Returns the token identifying a modified click action
GetMoney | money = GetMoney() | Returns the total amount of money currently in the player's possession
GetMouseButtonClicked | button = GetMouseButtonClicked() | Returns which mouse button triggered the current script. If called in a line of execution that started with a click hand
GetMouseButtonName | buttonName = GetMouseButtonName(buttonNumber) | Returns the name for a mouse button specified by number
GetMouseFocus | frame = GetMouseFocus() | Returns the frame that is currently under the mouse, and has mouse input enabled.
GetMovieResolution | resolution = GetMovieResolution() | Returns the horizontal resolution available for displaying movie content
GetMultisampleFormats | color, depth, multisample, ... = GetMultisampleFormats() | Returns a list of available multisample settings. Used in the default UI to provide descriptions of multisample settings
GetMuteName | name = GetMuteName(index) | Returns the name of a character on the mute list
GetMuteStatus | muteStatus = GetMuteStatus("unit" [, "channel"]) or GetMuteStatus("name" [, "channel"]) | Returns whether a character is muted or silenced. If the `channel` argument is specified, this function checks the given
GetNetStats | bandwidthIn, bandwidthOut, latencyHome, latencyWorld = GetNetStats() | Returns information about current network connection performance
GetNewSocketInfo | name, texture, matches = GetNewSocketInfo(index) | Returns information about a gem added to a socket. If the given socket contains a new gem (one that has been placed in t
GetNewSocketLink | link = GetNewSocketLink(index) | Returns a hyperlink for a gem added to a socket. If the given socket contains a new gem (one that has been placed in the
GetNextAchievement | nextID, completed = GetNextAchievement(id) | Returns the next achievement for an achievement which is part of a series
GetNumActiveQuests | numActiveQuests = GetNumActiveQuests() | Returns the number of quests which can be turned in to the current Quest NPC. Only returns valid information after a `QU
GetNumAddOns | numAddons = GetNumAddOns() | Returns the number of addons in the addon listing
GetNumArenaOpponents | numOpponents = GetNumArenaOpponents() | Returns the number of enemy players in an arena match
GetNumArenaTeamMembers | numMembers = GetNumArenaTeamMembers(teamindex, showOffline) | Returns the number of members in an arena team
GetNumAuctionItems | numBatchAuctions, totalAuctions = GetNumAuctionItems("list") | Returns the number of auction items in a listing
GetNumAvailableQuests | numAvailableQuests = GetNumAvailableQuests() | Returns the number quests available from the current Quest NPC. Only returns valid information after a `QUEST_GREETING` 
GetNumBankSlots | numSlots, isFull = GetNumBankSlots() | Returns information about purchased bank bag slots
GetNumBattlefieldFlagPositions | numFlags = GetNumBattlefieldFlagPositions() | Returns the number of battleground flags for which map position information is available
GetNumBattlefieldPositions | numTeamMembers = GetNumBattlefieldPositions() | Returns the number of team members in the battleground not in the player's group. Still used in the default UI but no lo
GetNumBattlefields | numBattlefields = GetNumBattlefields([index]) | Returns the number of instances available for a battleground
GetNumBattlefieldScores | numScores = GetNumBattlefieldScores() | Returns the number of participant scores available in the current battleground
GetNumBattlefieldStats | numStats = GetNumBattlefieldStats() | Returns the number of battleground-specific statistics on the current battleground's scoreboard. Battleground-specific s
GetNumBattlefieldVehicles | numVehicles = GetNumBattlefieldVehicles() | Returns the number of special vehicles in the current zone. Used only for certain vehicles in certain zones: includes th
GetNumBattlegroundTypes | numBattlegrounds = GetNumBattlegroundTypes() | Returns the number of different battlegrounds available. Refers to distinct battlegrounds, not battleground instances. D
GetNumBindings | numBindings = GetNumBindings() | Returns the number of entries in the key bindings list
GetNumBuybackItems | numBuybackItems = GetNumBuybackItems() | Returns the number of items recently sold to a vendor and available to be repurchased
GetNumChannelMembers | numMembers = GetNumChannelMembers(id) | Returns the number of members in a chat channel
GetNumCompanions | count = GetNumCompanions("type") | Returns the number of mounts or non-combat pets the player can summon
